"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Valle Revolución",2584,48.3,51.7,22.56,71.21,4.02,2.21,1.95,2.25,52.31,61.2,38.8,94.27,60.72,39.28,5.73,78.29,678,3.81,99.85,99.71,99.85,99.12,58.85,53.69,50,"Comercio Menudeo",48,"Otros servicios, excepto Gobierno",16,"Preparación de Alimentos y Bebidas",12,"Industria Manufacturera",6,"Salud",4
"Valle Verde",1080,50.37,49.63,16.61,66.6,7,9.79,2.04,3.96,50.43,62.32,37.68,94.67,62.09,37.91,5.33,75.19,287,3.76,100,100,100,99.3,64.75,50.37,25,"Comercio Menudeo",48,"Educativos",16,"Preparación de Alimentos y Bebidas",8,"Industria Manufacturera",8,"Financieros y Seguros",4
"Valles del Nazas",1941,48.84,51.16,34.88,60.64,2.94,1.54,1.72,1.98,54.55,61.64,38.36,96.16,61.4,38.6,3.84,78.67,497,3.91,100,100,100,98.59,68.01,55.94,49,"Otros servicios, excepto Gobierno",38.78,"Comercio Menudeo",26.53,"Preparación de Alimentos y Bebidas",14.29,"Educativos",6.12,"Industria Manufacturera",4.08
"Veinte de Noviembre",562,50.18,49.82,22.95,66.37,10.68,0,2.35,9.28,51.73,60.67,39.33,93.8,60.44,39.56,6.2,60.5,158,3.56,99.37,99.37,99.37,98.1,27.22,19.81,29,"Comercio Menudeo",34.48,"Otros servicios, excepto Gobierno",20.69,"Industria Manufacturera",17.24,"Preparación de Alimentos y Bebidas",13.79,"Salud",10.34
"Veintiocho de Abril",757,46.76,53.24,24.31,63.28,9.64,2.77,2.15,6.53,51.01,65.23,34.77,93.69,63.73,36.27,6.31,60.9,194,3.9,100,100,100,98.97,41.63,37.46,19,"Preparación de Alimentos y Bebidas",31.58,"Comercio Menudeo",26.32,"Industria Manufacturera",21.05,"Manejo de Residuos",10.53,"Otros servicios, excepto Gobierno",10.53
"Vencedora",2182,49.38,50.62,25.08,63.62,10.84,0.46,2.58,4.44,53.7,66.47,33.53,92.19,65.51,34.49,7.81,63.63,582,3.75,99.25,98.56,98.91,96.45,29.25,21.41,59,"Comercio Menudeo",44.07,"Otros servicios, excepto Gobierno",23.73,"Preparación de Alimentos y Bebidas",10.17,"Industria Manufacturera",10.17,"Salud",5.08
"Veredas de La Joya",22,40.91,59.09,40.91,59.09,0,0,1.29,0,78.57,54.55,45.45,100,54.55,45.45,0,95.45,7,3.14,100,100,100,100,100,100,0,,,,,,,,,,
"Vicente Guerrero",5648,48.82,51.18,26.27,63.91,9.65,0.17,2.69,8.45,51.12,66.98,33.02,89.19,65.29,34.71,10.81,67.76,1488,3.8,99.96,99.02,99.55,97.92,39.04,23.47,131,"Comercio Menudeo",44.27,"Otros servicios, excepto Gobierno",16.79,"Preparación de Alimentos y Bebidas",12.21,"Industria Manufacturera",9.92,"Salud",4.58
"Victoria",2163,50.37,49.63,29.69,61.62,8.69,0,2.66,9.82,53.44,68.14,31.86,93.16,67.42,32.58,6.84,66.87,540,4.01,98.45,97.51,97.89,96.4,31.12,18.78,29,"Comercio Menudeo",72.41,"Otros servicios, excepto Gobierno",10.34,"Educativos",6.9,"Industria Manufacturera",6.9,"Preparación de Alimentos y Bebidas",3.45
"Villa California",10692,47.47,52.53,23.69,69.93,4.78,1.6,1.93,2.98,52.7,60.35,39.65,91.96,59.75,40.25,8.04,72.07,2867,3.73,100,99.77,99.7,99.11,64.96,53.13,482,"Comercio Menudeo",42.32,"Otros servicios, excepto Gobierno",18.05,"Preparación de Alimentos y Bebidas",16.6,"Industria Manufacturera",6.02,"Educativos",4.77
