"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Ejido La Paz",2485,48.43,51.57,27.55,65.23,6.82,0.4,2.45,6.95,49.72,67.05,32.95,91.94,65.39,34.61,8.06,64.3,623,3.99,99.24,97.78,96.01,98.75,42.16,21.62,65,"Comercio Menudeo",44.62,"Preparación de Alimentos y Bebidas",16.92,"Otros servicios, excepto Gobierno",13.85,"Educativos",7.69,"Salud",4.62
"Ejido La Rosita",603,49.5,50.5,33.27,60.83,5.88,0.02,2.46,6.02,47.01,78.63,21.37,82.6,75.87,24.13,17.4,57.21,149,4.05,99.35,92.61,85.85,94.5,34.39,15.08,15,"Comercio Menudeo",33.33,"Educativos",20,"Otros servicios, excepto Gobierno",20,"Preparación de Alimentos y Bebidas",13.33,"Gubernamentales",6.67
"Ejido La Unión",4885,49.99,50.01,29.94,62.78,5.66,1.62,2.54,5.81,57.17,66.89,33.11,90.21,65.21,34.79,9.79,60.2,1156,4.23,99.44,98.14,94.23,96.93,44.88,27.87,140,"Comercio Menudeo",44.29,"Preparación de Alimentos y Bebidas",17.86,"Otros servicios, excepto Gobierno",15,"Educativos",7.14,"Industria Manufacturera",7.14
"Ejido Los Arenales",1050,46.27,53.73,33.14,62.26,4.27,0.33,2.81,1.94,49.61,72,28,93.02,70.92,29.08,6.98,64.18,248,4.23,100,96.62,98.63,98.63,36.34,31.25,85,"Comercio Menudeo",34.12,"Otros servicios, excepto Gobierno",22.35,"Preparación de Alimentos y Bebidas",20,"Industria Manufacturera",5.88,"Salud",4.71
"Ejido Los Rodríguez",161,54.74,45.26,23.96,53.23,18.73,4.08,2.42,2.87,52.6,74.28,25.72,81.66,74.15,25.85,18.34,40.29,31,5.19,100,100,94.16,100,39.65,68.72,2,"Educativos",50,"Otros servicios, excepto Gobierno",50,,,,,,
"Ejido San Agustín",1855,49.9,50.1,29.76,63.76,6.24,0.24,2.36,5.28,49,71.25,28.75,87.98,68.41,31.59,12.02,70.39,425,4.36,99.11,97.23,90.86,98.38,39.59,17.78,78,"Comercio Menudeo",30.77,"Otros servicios, excepto Gobierno",16.67,"Industria Manufacturera",12.82,"Preparación de Alimentos y Bebidas",10.26,"Educativos",6.41
"Ejido San Antonio de Los Bravos",2428,48.64,51.36,28.28,66.23,5.48,0.01,2.37,7.51,54.55,66.81,33.19,88.53,64.39,35.61,11.47,75.7,590,4.12,99.55,99.55,97.68,98.69,44.13,31.06,31,"Comercio Menudeo",48.39,"Otros servicios, excepto Gobierno",16.13,"Educativos",9.68,"Salud",6.45,"Preparación de Alimentos y Bebidas",6.45
"Ejido San Luis",1222,47.96,52.04,28.02,65.44,6.03,0.51,2.47,6.65,54.67,68.83,31.17,89.43,67.01,32.99,10.57,68.89,300,4.07,99.71,97.93,97.97,97.86,44.5,23.2,85,"Comercio Menudeo",31.76,"Otros servicios, excepto Gobierno",24.71,"Preparación de Alimentos y Bebidas",9.41,"Comercio Mayoreo",9.41,"Industria Manufacturera",7.06
"Ejido Zaragoza",2095,49.27,50.73,36.17,59.32,3.78,0.73,2.18,2.95,55.58,69.65,30.35,89.92,68.95,31.05,10.08,71.07,536,3.91,99.68,99.29,98.72,98.35,51.44,26.89,78,"Comercio Menudeo",38.46,"Preparación de Alimentos y Bebidas",16.67,"Otros servicios, excepto Gobierno",12.82,"Educativos",10.26,"Industria Manufacturera",7.69
"El Arenal",1420,50.31,49.69,26.74,62.46,10.58,0.22,2.41,8.63,53.4,66.27,33.73,93.22,65.23,34.77,6.78,59.99,370,3.84,99.4,99.94,99.67,97.78,37.05,25.19,20,"Comercio Menudeo",60,"Preparación de Alimentos y Bebidas",25,"Otros servicios, excepto Gobierno",15,,,,
"El Campanario",0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
"El Castaño",0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
"El Kiosco",639,48.67,51.33,37.09,60.41,2.03,0.47,1.72,1.86,62.65,63.4,36.6,98.08,63.46,36.54,1.92,82.47,190,3.36,100,100,100,98.42,72.11,54.21,18,"Comercio Menudeo",38.89,"Otros servicios, excepto Gobierno",16.67,"Preparación de Alimentos y Bebidas",16.67,"Inmobiliarios",11.11,"Esparcimiento, Culturales, Deportivos",11.11
"El Oasis",213,51.13,48.87,28.76,69.18,1.99,0.07,1.55,0.96,51.67,69.07,30.93,99.93,69.07,30.93,0.07,81.43,56,3.8,100,98.54,100,100,85.74,80.67,1,"Comercio Menudeo",100,,,,,,,,
"El Pedregal",1254,50.96,49.04,34.21,62.12,1.52,2.15,1.84,1.22,55.78,67.15,32.85,91.66,65.99,34.01,8.34,69.62,329,3.81,99.7,99.7,99.39,98.18,57.75,41.34,33,"Comercio Menudeo",36.36,"Otros servicios, excepto Gobierno",21.21,"Preparación de Alimentos y Bebidas",21.21,"Financieros y Seguros",6.06,"Salud",3.03
"El Ranchito",718,50.31,49.69,36.97,58.85,3.29,0.89,2.33,3.05,49.87,73.21,26.79,90.09,70.98,29.02,9.91,48.89,171,4.2,100,85.91,66.21,95.89,37.59,13.16,47,"Comercio Menudeo",29.79,"Industria Manufacturera",17.02,"Otros servicios, excepto Gobierno",14.89,"Preparación de Alimentos y Bebidas",12.77,"Comercio Mayoreo",6.38
"El Roble I",1238,46.12,53.88,20.68,70.76,7.51,1.05,2.24,6.93,51.96,63.47,36.53,93.61,62.73,37.27,6.39,75.12,332,3.73,100,100,100,99.4,63.25,44.87,12,"Comercio Menudeo",66.67,"Educativos",8.33,"Otros servicios, excepto Gobierno",8.33,"Preparación de Alimentos y Bebidas",8.33,"Comercio Mayoreo",8.33
"El Roble II",565,45.31,54.69,21.24,65.49,7.43,5.84,1.84,3.92,49.86,57.98,42.02,96.84,59.29,40.71,3.16,72.92,149,3.79,100,97.99,97.32,97.99,75.17,57.3,28,"Gubernamentales",53.57,"Preparación de Alimentos y Bebidas",17.86,"Comercio Menudeo",10.71,"Educativos",7.14,"Comercio Mayoreo",7.14
"El Siglo De Torreón",234,52.96,47.04,42.9,54.36,2.68,0.06,2.8,8.39,54.39,77.61,22.39,88.63,76.48,23.52,11.37,55.83,51,4.59,100,98.81,85.07,98.76,59.94,12.32,1,"Comercio Menudeo",100,,,,,,,,
"El Tajito",2914,48.01,51.99,20.05,72.42,6.44,1.09,1.93,4.62,57.38,58,42,95.02,57.72,42.28,4.98,78.07,818,3.56,100,99.88,99.88,99.63,78.61,64.55,99,"Comercio Menudeo",35.35,"Otros servicios, excepto Gobierno",25.25,"Preparación de Alimentos y Bebidas",8.08,"Industria Manufacturera",8.08,"Salud",7.07
"Elsa Hernández",2404,48.15,51.85,28.49,62.1,5.41,4,2.59,1.9,53.58,66.56,33.44,86.89,66.34,33.66,13.11,59.4,569,4.22,99.95,99.78,99.25,96.79,36.36,16.9,89,"Comercio Menudeo",38.2,"Otros servicios, excepto Gobierno",23.6,"Industria Manufacturera",12.36,"Educativos",7.87,"Preparación de Alimentos y Bebidas",7.87
"Esparza",1150,49.13,50.87,22.65,65.59,10.37,1.39,2.36,6.2,56.53,62.81,37.19,91.26,61.43,38.57,8.74,71.68,319,3.61,100,99.54,99.23,99.23,44.6,34.65,24,"Comercio Menudeo",41.67,"Otros servicios, excepto Gobierno",29.17,"Preparación de Alimentos y Bebidas",20.83,"Profesionales, Científicos, Técnicos",4.17,"Industria Manufacturera",4.17
"Estrella",3210,46.21,53.79,14.01,69.79,12.41,3.79,1.84,2.34,51.36,57.52,42.48,95.36,57.13,42.87,4.64,73.49,923,3.48,99.91,99.48,99.8,99.37,92.14,80.39,151,"Comercio Menudeo",27.81,"Otros servicios, excepto Gobierno",13.91,"Preparación de Alimentos y Bebidas",13.91,"Profesionales, Científicos, Técnicos",10.6,"Educativos",5.96
"Eugenio Aguirre Benavides",1846,47.51,52.49,23.51,62.35,9.43,4.71,2.26,4.24,52.28,62.62,37.38,94.55,61.15,38.85,5.45,60.35,457,4.04,99.78,99.56,99.12,99.56,48.16,33.05,67,"Otros servicios, excepto Gobierno",34.33,"Comercio Menudeo",26.87,"Industria Manufacturera",11.94,"Preparación de Alimentos y Bebidas",8.96,"Comercio Mayoreo",4.48
"Ex-Hacienda Antigua Los Ángeles",601,46.07,53.93,22.93,71.52,4.03,1.52,1.43,0.71,58.5,54.4,45.6,97.36,54.33,45.67,2.64,87.31,166,3.62,100,100,100,100,92.8,87.29,40,"Preparación de Alimentos y Bebidas",27.5,"Comercio Menudeo",25,"Otros servicios, excepto Gobierno",10,"Industria Manufacturera",7.5,"Comercio Mayoreo",7.5
"Ex-Hacienda La Merced",86,42.9,57.1,21.22,63.19,15.58,0.01,3.02,6.96,50.83,66.15,33.85,83.52,67.14,32.86,16.48,70.54,25,3.44,100,100,100,100,52.72,48.34,11,"Comercio Menudeo",54.55,"Preparación de Alimentos y Bebidas",18.18,"Gubernamentales",9.09,"Otros servicios, excepto Gobierno",9.09,"Industria Manufacturera",9.09
"Ex-Hacienda La Perla",3172,50.76,49.24,39.47,58.61,1.07,0.85,2.01,1.89,59.13,70.82,29.18,86.91,70.36,29.64,13.09,67.75,815,3.89,99.63,99.39,99.39,98.65,33.79,23.78,68,"Comercio Menudeo",44.12,"Preparación de Alimentos y Bebidas",26.47,"Otros servicios, excepto Gobierno",8.82,"Educativos",7.35,"Industria Manufacturera",4.41
"Ex-Hacienda Los Ángeles",346,52.44,47.56,21.87,73.47,4.65,0.01,1.84,1.52,50.55,56.82,43.18,93.62,57.62,42.38,6.38,86.57,94,3.68,100,100,100,99.83,85.92,82.16,16,"Comercio Menudeo",43.75,"Otros servicios, excepto Gobierno",37.5,"Inmobiliarios",12.5,"Preparación de Alimentos y Bebidas",6.25,,
"Felipe Ángeles",1023,48.78,51.22,21.11,68.52,8.9,1.47,2.42,5.81,51.24,63.51,36.49,83.68,60.38,39.62,16.32,63.64,283,3.61,99.65,98.94,98.23,98.94,52.3,44.4,90,"Otros servicios, excepto Gobierno",28.89,"Comercio Menudeo",26.67,"Preparación de Alimentos y Bebidas",8.89,"Industria Manufacturera",7.78,"Comercio Mayoreo",7.78
"Ferropuerto Laguna",0,,,,,,,,,,,,,,,,,0,,,,,,,,23,"Industria Manufacturera",52.17,"Comercio Mayoreo",21.74,"Preparación de Alimentos y Bebidas",13.04,"Comercio Menudeo",4.35,"Manejo de Residuos",4.35
"Fidel Velázquez",3367,49.99,50.01,22.54,72.65,4.63,0.18,2.27,4.37,56.48,62.63,37.37,86.44,61.95,38.05,13.56,74.19,877,3.84,99.43,99.09,98.63,98.75,52.68,40.89,55,"Comercio Menudeo",47.27,"Otros servicios, excepto Gobierno",18.18,"Salud",7.27,"Industria Manufacturera",7.27,"Manejo de Residuos",5.45
"Fovissste La Rosita",1983,47.27,52.73,19.97,71.51,8.26,0.26,2.13,4.61,52.2,55.05,44.95,88.41,54.5,45.5,11.59,83.88,572,3.47,100,100,99.93,100,67.7,65.26,51,"Comercio Menudeo",27.45,"Preparación de Alimentos y Bebidas",23.53,"Otros servicios, excepto Gobierno",13.73,"Educativos",7.84,"Industria Manufacturera",7.84
"Fovissste Nueva California",613,46.98,53.02,21.21,74.55,3.26,0.98,1.77,3.63,53.4,54.31,45.69,92.81,54.62,45.38,7.19,79.77,161,3.81,100,100,100,100,80.12,68.94,7,"Comercio Menudeo",57.14,"Otros servicios, excepto Gobierno",28.57,"Preparación de Alimentos y Bebidas",14.29,,,,
"Fovissste Nueva Los Ángeles",807,47.71,52.29,16.45,59.21,16.78,7.56,2.34,7.05,44.19,57.71,42.29,89.24,56.73,43.27,10.76,78.32,218,3.7,99.55,99.08,99.08,97.15,71.69,64.55,22,"Comercio Menudeo",22.73,"Salud",13.64,"Otros servicios, excepto Gobierno",13.64,"Educativos",9.09,"Manejo de Residuos",9.09
"Fraccionamiento Joyas del Bosque",831,49.1,50.9,37.06,61.01,1.56,0.37,2.22,0.9,61.22,66.19,33.81,85.96,62.99,37.01,14.04,68.83,221,3.76,100,100,100,99.55,31.2,11.25,17,"Comercio Menudeo",70.59,"Preparación de Alimentos y Bebidas",23.53,"Profesionales, Científicos, Técnicos",5.88,,,,
"Fraccionamiento La Ciénega",114,50,50,25.44,73.68,0.88,0,1.32,0,65.56,59.32,40.68,92.76,60,40,7.24,79.82,33,3.45,100,100,100,100,100,96.97,48,"Preparación de Alimentos y Bebidas",33.33,"Comercio Menudeo",22.92,"Otros servicios, excepto Gobierno",18.75,"Salud",8.33,"Industria Manufacturera",8.33
"Fraccionamiento La Joya",0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
"Fraccionamiento Las Lomas",447,48.55,51.45,31.54,64.43,1.34,2.69,1.39,1.58,64.49,53.62,46.38,98.03,53.69,46.31,1.97,87.47,135,3.31,100,100,100,100,96.3,81.48,4,"Otros servicios, excepto Gobierno",50,"Comercio Menudeo",25,"Comercio Mayoreo",25,,,,
"Francisco I. Madero",836,50.49,49.51,26.64,65.71,6.41,1.24,2.51,4.64,50.48,73.62,26.38,84.31,74.37,25.63,15.69,69.64,207,4.04,99.29,99.29,98.31,97.82,23.71,8.04,9,"Comercio Menudeo",77.78,"Otros servicios, excepto Gobierno",11.11,"Industria Manufacturera",11.11,,,,
"Francisco Villa",6787,49.36,50.64,29.74,63.51,5.69,1.06,2.63,4.88,54.14,69.97,30.03,85.66,68.75,31.25,14.34,61.08,1587,4.28,99.87,99.81,99.87,98.61,34,15.95,114,"Comercio Menudeo",53.51,"Otros servicios, excepto Gobierno",23.68,"Industria Manufacturera",7.89,"Preparación de Alimentos y Bebidas",6.14,"Educativos",2.63
"Francisco Villa Poniente",2101,50.02,49.98,21.65,64.21,12.41,1.73,2.28,8.31,53.24,62.32,37.68,91.5,61.24,38.76,8.5,65.03,579,3.63,99.75,99.4,99.23,98.88,55.71,39.05,66,"Comercio Menudeo",33.33,"Otros servicios, excepto Gobierno",22.73,"Preparación de Alimentos y Bebidas",12.12,"Salud",7.58,"Industria Manufacturera",7.58
"Fuentes del Sur",4354,47.06,52.94,20.58,71.41,6.78,1.23,2,4.53,53.96,60.23,39.77,89.17,58.8,41.2,10.83,76.8,1210,3.6,100,99.59,99.75,99.59,74.3,57.87,65,"Comercio Menudeo",30.77,"Otros servicios, excepto Gobierno",20,"Preparación de Alimentos y Bebidas",12.31,"Industria Manufacturera",10.77,"Gubernamentales",9.23
"Granjas San Isidro",461,46.34,53.66,12.68,59.21,15.86,12.25,2.01,3.57,47.04,57.71,42.29,97.99,58.24,41.76,2.01,67.43,117,3.94,98.66,98.6,99.52,96.13,93.89,84.61,54,"Financieros y Seguros",22.22,"Comercio Menudeo",20.37,"Preparación de Alimentos y Bebidas",12.96,"Otros servicios, excepto Gobierno",11.11,"Profesionales, Científicos, Técnicos",9.26
"Gustavo Díaz Ordaz",505,49.06,50.94,22.55,63.7,11.91,1.84,2.57,8.81,51.06,68.1,31.9,88.7,67.32,32.68,11.3,65.64,134,3.77,100,100,99.57,99.55,53.62,37.42,100,"Comercio Menudeo",41,"Otros servicios, excepto Gobierno",27,"Preparación de Alimentos y Bebidas",12,"Profesionales, Científicos, Técnicos",5,"Comercio Mayoreo",5
"Hacienda Santa María",92,48.81,51.19,35.28,59.94,4.7,0.08,1.46,6.44,65.26,55.87,44.13,98.96,55.63,44.37,1.04,88.02,28,3.29,100,100,100,100,58.72,34.09,6,"Otros servicios, excepto Gobierno",33.33,"Preparación de Alimentos y Bebidas",33.33,"Salud",16.67,"Comercio Menudeo",16.67,,
"Hogares Ferrocarrileros",1719,47.41,52.59,20.42,66.84,11.11,1.63,2.23,4.47,49.64,58.33,41.67,92.47,57.19,42.81,7.53,76.91,458,3.75,99.56,99.13,99.78,97.82,52.93,48.47,50,"Comercio Menudeo",38,"Preparación de Alimentos y Bebidas",26,"Otros servicios, excepto Gobierno",12,"Educativos",10,"Profesionales, Científicos, Técnicos",4
"Horizonte",249,46.18,53.82,23.29,70.68,6.02,0.01,1.79,2.87,56.16,56.14,43.86,92.49,53.77,46.23,7.51,75.1,79,3.15,100,100,100,97.47,75.95,68.35,6,"Comercio Menudeo",33.33,"Salud",16.67,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",16.67,"Comercio Mayoreo",16.67
"Industrial Lajat",0,,,,,,,,,,,,,,,,,0,,,,,,,,16,"Industria Manufacturera",68.75,"Comercio Menudeo",12.5,"Manejo de Residuos",6.25,"Transportes, Correo, Almacenamiento",6.25,"Construcción",6.25
"Infonavit Nueva California",2899,49.67,50.33,19.97,76.66,2.53,0.84,1.98,7.71,56.48,63.11,36.89,88.29,61.64,38.36,11.71,73.75,766,3.78,99.61,99.35,99.74,99.09,50.53,40.73,47,"Comercio Menudeo",55.32,"Preparación de Alimentos y Bebidas",21.28,"Otros servicios, excepto Gobierno",14.89,"Esparcimiento, Culturales, Deportivos",6.38,"Manejo de Residuos",2.13
"Jacarandas",1756,48.41,51.59,21.01,64.52,8.66,5.81,2.31,5.13,51.35,59.8,40.2,87.71,58.95,41.05,12.29,77.96,480,3.66,100,99.58,99.38,100,57.5,40.62,79,"Comercio Menudeo",56.96,"Otros servicios, excepto Gobierno",12.66,"Preparación de Alimentos y Bebidas",12.66,"Manejo de Residuos",5.06,"Industria Manufacturera",3.8
"Jacobo Meyer",912,49.45,50.55,30.24,62.7,6.96,0.1,2.39,12.83,52.52,68.89,31.11,86.1,68.51,31.49,13.9,53.44,229,3.98,99.35,96.69,98.47,94.52,27.65,12.09,15,"Comercio Menudeo",46.67,"Salud",13.33,"Otros servicios, excepto Gobierno",13.33,"Preparación de Alimentos y Bebidas",13.33,"Manejo de Residuos",6.67
"Jardín Las Etnias",150,52.67,47.33,26,72,2,0,1.2,0,63.03,65.04,34.96,98.63,64.47,35.53,1.37,86,48,3.12,100,100,100,100,100,97.92,0,,,,,,,,,,
"Jardines de California",2292,47.56,52.44,13.26,66.36,15.27,5.11,2.14,7.89,48.31,56.99,43.01,91.67,56.03,43.97,8.33,75.61,658,3.48,100,99.7,99.7,99.85,79.03,63.83,102,"Comercio Menudeo",28.43,"Otros servicios, excepto Gobierno",25.49,"Preparación de Alimentos y Bebidas",13.73,"Educativos",6.86,"Salud",5.88
"Jardines Del Sol",988,49.79,50.21,36.24,62.25,0.85,0.66,1.8,1.37,63.28,67.43,32.57,93.24,66.79,33.21,6.76,81.14,277,3.57,99.97,100,100,98.86,48.52,25.9,29,"Comercio Menudeo",68.97,"Otros servicios, excepto Gobierno",13.79,"Preparación de Alimentos y Bebidas",6.9,"Industria Manufacturera",6.9,"Manejo de Residuos",3.45
"Jardines Universidad",4867,49.77,50.23,25.33,44.87,12.45,17.35,1.8,1.44,58.28,65.66,34.34,90.43,65.15,34.85,9.57,54.37,952,5.11,99.15,98.94,99.04,98.1,52.23,32.35,122,"Comercio Menudeo",50.82,"Preparación de Alimentos y Bebidas",16.39,"Otros servicios, excepto Gobierno",15.57,"Educativos",5.74,"Industria Manufacturera",4.92
"Jesús García Corona",175,50.29,49.71,28,62.86,7.43,1.71,2.86,6.29,55.3,73.97,26.03,84.46,76.19,23.81,15.54,42.29,38,4.61,100,100,100,89.47,31.58,22.43,5,"Comercio Menudeo",40,"Otros servicios, excepto Gobierno",40,"Preparación de Alimentos y Bebidas",20,,,,
"Jesús Maria del Bosque",19,48.22,51.78,22.86,68.19,8.58,0.37,2.31,6.29,53.25,62.64,37.36,87.54,62.08,37.92,12.46,73.15,4,4.75,100,100,100,100,58.9,43.66,0,,,,,,,,,,
"José de Las Fuentes",3,45.45,54.55,26.06,70.3,3.64,0,1.82,3.64,64.57,52.44,47.56,94.89,51.28,48.72,5.11,88.48,1,3,98.18,98.18,98.18,98.18,81.82,40,5,"Transportes, Correo, Almacenamiento",40,"Comercio Menudeo",20,"Educativos",20,"Comercio Mayoreo",20,,
"José López Portillo",354,45.48,54.52,26.55,60.17,10.73,2.55,2.47,4.57,48.35,71.21,28.79,97.68,71.32,28.68,2.32,52.26,84,4.21,100,98.81,98.81,98.81,14.08,18.51,17,"Comercio Menudeo",41.18,"Otros servicios, excepto Gobierno",29.41,"Salud",11.76,"Gubernamentales",11.76,"Esparcimiento, Culturales, Deportivos",5.88
"José Luz Torres",3729,49.48,50.52,38.35,59.06,2.4,0.19,2.43,6.29,51.87,73.65,26.35,89.25,72.52,27.48,10.75,59.14,875,4.26,99.34,98.08,95.9,96.58,38.04,16.86,94,"Comercio Menudeo",41.49,"Otros servicios, excepto Gobierno",20.21,"Preparación de Alimentos y Bebidas",12.77,"Industria Manufacturera",12.77,"Comercio Mayoreo",4.26
"José Ramírez Mijares",1914,47.54,52.46,28.44,64.69,6.8,0.07,2.32,6.68,49.53,71.1,28.9,93.88,70.07,29.93,6.12,68.75,488,3.92,97.71,95.85,96.26,95.83,32.82,15.15,40,"Comercio Menudeo",52.5,"Otros servicios, excepto Gobierno",15,"Preparación de Alimentos y Bebidas",12.5,"Salud",5,"Educativos",5
"Joyas de Torreón",1913,48.98,51.02,35.7,61.42,2.25,0.63,1.91,1.08,60.95,65.73,34.27,93.49,64.58,35.42,6.51,75.43,521,3.67,100,100,100,98.85,51.74,26.76,56,"Comercio Menudeo",44.64,"Preparación de Alimentos y Bebidas",14.29,"Otros servicios, excepto Gobierno",10.71,"Industria Manufacturera",7.14,"Manejo de Residuos",5.36
"Joyas del Desierto",1556,49.51,50.49,36.33,62.66,0.73,0.28,1.75,2.68,65.76,61.04,38.96,93.63,60.97,39.03,6.37,77.35,440,3.54,100,100,99.86,98.49,60.96,36.36,9,"Comercio Menudeo",77.78,"Educativos",11.11,"Otros servicios, excepto Gobierno",11.11,,,,
"Joyas del Oriente",3037,49.98,50.02,35.78,61.98,1.15,1.09,1.88,2.2,59.76,66.37,33.63,92.95,65.37,34.63,7.05,74.83,820,3.7,99.95,99.82,99.58,99.09,54.31,31.45,59,"Comercio Menudeo",44.07,"Preparación de Alimentos y Bebidas",18.64,"Manejo de Residuos",8.47,"Otros servicios, excepto Gobierno",8.47,"Educativos",6.78
"Justo Sierra",120,43.74,56.26,27.02,61.47,11.5,0.01,2.68,3.57,42.97,83.15,16.85,91.13,81.79,18.21,8.87,71.09,34,3.53,100,98.22,95.23,95.26,24.73,10.05,4,"Comercio Menudeo",50,"Educativos",25,"Otros servicios, excepto Gobierno",25,,,,
"La Amistad",490,50.7,49.3,27.25,66.36,5.75,0.64,2.31,5.7,54.94,70.11,29.89,94.53,68.48,31.52,5.47,65,125,3.92,100,100,100,96.93,60.44,44.58,41,"Otros servicios, excepto Gobierno",36.59,"Comercio Menudeo",17.07,"Preparación de Alimentos y Bebidas",17.07,"Industria Manufacturera",7.32,"Comercio Mayoreo",7.32
"La Arboleda",100,48,52,32,68,0,0,1.33,6,61.11,56.82,43.18,97.68,55.81,44.19,2.32,75,31,3.23,100,100,100,100,96.77,90.32,0,,,,,,,,,,
"La Cortina",1787,48.13,51.87,34.64,61.67,2.01,1.68,1.83,0.92,54.55,62.93,37.07,92.55,63.27,36.73,7.45,73.42,452,3.95,99.78,99.78,99.34,99.34,53.96,36.97,25,"Comercio Menudeo",52,"Otros servicios, excepto Gobierno",28,"Educativos",12,"Preparación de Alimentos y Bebidas",8,,
"La Dalia",4351,48.79,51.21,25.42,71.36,3.15,0.07,2.2,7.06,56.28,64.84,35.16,89.88,63.64,36.36,10.12,77.52,1087,4,99.91,99.63,99.82,99.17,52.71,36.25,88,"Comercio Menudeo",51.14,"Otros servicios, excepto Gobierno",18.18,"Preparación de Alimentos y Bebidas",12.5,"Educativos",5.68,"Salud",4.55
"La Dalia Oriente",3863,48.25,51.75,25.52,71.65,2.51,0.32,2.03,5.55,56.48,63.68,36.32,90.91,62.99,37.01,9.09,76.05,943,4.1,99.58,99.58,98.94,99.15,50.58,34.46,45,"Comercio Menudeo",46.67,"Preparación de Alimentos y Bebidas",20,"Otros servicios, excepto Gobierno",15.56,"Manejo de Residuos",6.67,"Educativos",4.44
"La Fe",566,49.28,50.72,23.68,65.59,10.73,0,2.77,13.49,47.02,68.66,31.34,88.58,65.07,34.93,11.42,72.99,166,3.41,99.43,95.8,98.82,96.39,15.15,13.17,5,"Comercio Menudeo",60,"Otros servicios, excepto Gobierno",20,"Comercio Mayoreo",20,,,,
"La Fuente",6179,48.05,51.95,17.76,74.33,6.18,1.73,1.87,3.37,54.07,60.04,39.96,94.34,59.22,40.78,5.66,76.15,1654,3.74,99.91,99.55,99.85,99.37,79.93,69.85,167,"Comercio Menudeo",42.51,"Otros servicios, excepto Gobierno",16.77,"Preparación de Alimentos y Bebidas",15.57,"Educativos",3.59,"Profesionales, Científicos, Técnicos",3.59
"La Hacienda Oriente",278,47.12,52.88,20.33,74.59,5.07,0.01,1.63,2.52,55.41,52.42,47.58,95.07,52.52,47.48,4.93,86.5,80,3.48,100,100,100,100,95.43,87.8,25,"Salud",44,"Preparación de Alimentos y Bebidas",16,"Comercio Menudeo",12,"Inmobiliarios",4,"Financieros y Seguros",4
"La Joya",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Salud",100,,,,,,,,
"La Libertad",427,50.58,49.42,30.08,62.18,7.74,0,2.63,14.8,53.77,72.44,27.56,84.78,72.69,27.31,15.22,47.58,105,4.07,98.58,91.91,90.96,97.62,16.95,12.19,1,"Otros servicios, excepto Gobierno",100,,,,,,,,
"La Merced",1032,50.63,49.37,24.45,67.86,6.81,0.88,2.4,1.92,56.93,70.92,29.08,96.67,70.62,29.38,3.33,61.74,280,3.69,100,99.4,100,99.03,51.9,26.9,76,"Comercio Menudeo",27.63,"Industria Manufacturera",19.74,"Otros servicios, excepto Gobierno",18.42,"Preparación de Alimentos y Bebidas",13.16,"Educativos",5.26
"La Merced II",5097,48.68,51.32,22.41,72.57,3.67,1.35,1.83,3.88,54.72,60.61,39.39,91.48,60.03,39.97,8.52,76.67,1368,3.73,100,99.85,99.93,99.63,65.94,56.96,129,"Comercio Menudeo",43.41,"Preparación de Alimentos y Bebidas",16.28,"Otros servicios, excepto Gobierno",15.5,"Profesionales, Científicos, Técnicos",4.65,"Industria Manufacturera",4.65
"La Mina",1762,51.02,48.98,19.19,70.27,5.52,5.02,2.03,4.61,47.79,62.27,37.73,95.41,62.6,37.4,4.59,73.08,439,4.01,100,100,100,97.18,63.72,55.63,50,"Comercio Menudeo",40,"Otros servicios, excepto Gobierno",16,"Educativos",8,"Preparación de Alimentos y Bebidas",8,"Industria Manufacturera",8
"La Muralla",119,47.06,52.94,37.82,57.98,4.2,0,1.79,1.74,61.54,62.22,37.78,100,62.13,37.87,0,84.87,33,3.61,100,100,100,100,93.31,86.08,0,,,,,,,,,,
"La Orquídea",77,47.81,52.19,24.22,66.28,9.47,0.03,3.03,19.54,57.29,65.05,34.95,96.65,63.93,36.07,3.35,58.44,22,3.5,99.53,100,100,94.93,72.47,17.97,1,"Otros servicios, excepto Gobierno",100,,,,,,,,
